"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","class","order","family","genus","below_genus","species","below_species","below_below_species"
"2916","665866","species","Neoceratium fusus","1","131567","2759","33630","2864","40984","39451","665866","","2916","",""
"2966","2965","species","Noctiluca scintillans","1","131567","2759","33630","2864","2964","66804","2965","","2966","",""
"2969","2968","species","Oxyrrhis marina","1","131567","2759","33630","2864","1239064","174810","2968","","2969","",""
"43686","766107","species","Pelagodinium beii","1","131567","2759","33630","2864","89954","89955","766107","","43686","",""
"268820","2867","species","Peridinium aciculiferum","1","131567","2759","33630","2864","2910","66803","2867","","268820","",""
"89957","89956","species","Polarella glacialis","1","131567","2759","33630","2864","89954","89955","89956","","89957","",""
"39448","2944","species","Prorocentrum lima","1","131567","2759","33630","2864","2942","2943","2944","","39448","",""
"2945","2944","species","Prorocentrum micans","1","131567","2759","33630","2864","2942","2943","2944","","2945","",""
"39449","2944","species","Prorocentrum minimum","1","131567","2759","33630","2864","2942","2943","2944","","39449","",""
"133427","133426","species","Protoceratium reticulatum","1","131567","2759","33630","2864","40984","33834","133426","","133427","",""
"2972","2971","species","Pyrocystis lunula","1","131567","2759","33630","2864","2970","1573500","2971","","2972","",""
"73915","73914","species","Pyrodinium bahamense","1","131567","2759","33630","2864","40984","1129376","73914","","73915","",""
"447022","54902","species","Scrippsiella cf. hangoei","1","131567","2759","33630","2864","2910","1691972","54902","","447022","",""
"268821","54902","species","Scrippsiella hangoei","1","131567","2759","33630","2864","2910","1691972","54902","","268821","",""
"71861","54902","species","Scrippsiella trochoidea","1","131567","2759","33630","2864","2910","1691972","54902","","71861","",""
"104179","2949","species","Symbiodinium kawagutii","1","131567","2759","33630","2864","89954","252141","2949","","104179","",""
"631057","279888","species","Symbiodinium sp. CCMP2430","1","131567","2759","33630","2864","89954","252141","2949","279888","631057","",""
"174948","279888","species","Symbiodinium sp. CCMP421","1","131567","2759","33630","2864","89954","252141","2949","279888","174948","",""
"230996","279888","species","Symbiodinium sp. Mp","1","131567","2759","33630","2864","89954","252141","2949","279888","230996","",""
"311979","633875","species","Symbiodinium sp. clade A","1","131567","2759","33630","2864","89954","252141","2949","633875","311979","",""
"293275","633875","species","Symbiodinium sp. clade C","1","131567","2759","33630","2864","89954","252141","2949","633875","293275","",""
"462645","279888","species","Symbiodinium sp. type D1a","1","131567","2759","33630","2864","89954","252141","2949","279888","462645","",""
"2923","2922","species","Thoracosphaera heimii","1","131567","2759","33630","2864","2910","1691972","2922","","2923","",""
"285029","285028","species","Togula jolla","1","131567","2759","33630","2864","2953","66801","285028","","285029","",""
"100272","61964","species","uncultured eukaryote","1","131567","2759","61964","","","","","","100272","",""
"765179","311979","below_species","Symbiodinium clade A isolates","1","131567","2759","33630","2864","89954","252141","2949","633875","311979","765179",""
"293213","293275","below_species","Symbiodinium sp. C1","1","131567","2759","33630","2864","89954","252141","2949","633875","293275","293213",""
"377605","293275","below_species","Symbiodinium sp. C15","1","131567","2759","33630","2864","89954","252141","2949","633875","293275","377605",""
"993574","765179","below_below_species","Symbiodinium sp. Mf12.5f/clade A3","1","131567","2759","33630","2864","89954","252141","2949","633875","311979","765179","993574"
